Name,Party,Office,Distid,Total from Gun Control,Total From Gun Rights,Gun Control Support,Gun Control Opposed,Gun Rights Support,Gun Rights Opposed,Stateid,Total Funding,Stance,log_grights,log_gcontrol,log_totalfund
"Fischer, Deb",Republican,Senate,NES1,0,51485,0,861,35571,0,NE,51485,Rights,10.849065205035176,0.0,10.849065205035176
"Flores, Bill",Republican,House,TX17,0,50650,0,861,1032,0,TX,50650,Rights,10.832714252818556,0.0,10.832714252818556
"Rogers, Mike D",Republican,House,AL03,0,50600,0,861,229,2248,AL,50600,Rights,10.831726617926124,0.0,10.831726617926124
"Cuellar, Henry",Democrat,House,TX28,0,50499,0,861,1994,0,TX,50499,Rights,10.829728615263452,0.0,10.829728615263452
"Thompson, Mike",Democrat,House,CA05,8632,49879,0,0,0,4413,CA,58511,Rights,10.817375399793972,9.063347348235522,10.976987140389163
"Duncan, Jeff",Republican,House,SC03,0,49770,0,861,0,0,SC,49770,Rights,10.815187764075905,0.0,10.815187764075905
"Zeldin, Lee",Republican,House,NY01,0,48885,0,45053,41431,0,NY,48885,Rights,10.797246335903196,0.0,10.797246335903196
"Graves, Tom",Republican,House,GA14,0,48350,0,861,0,0,GA,48350,Rights,10.786242183190828,0.0,10.786242183190828
"Murkowski, Lisa",Republican,Senate,AKS2,0,48058,0,861,126212,0,AK,48058,Rights,10.780184701749807,0.0,10.780184701749807
"Hunter, Duncan D",Republican,House,CA50,0,47537,0,861,0,0,CA,47537,Rights,10.769284670193297,0.0,10.769284670193297
"Kelly, Mike",Republican,House,PA16,0,47450,0,861,24466,0,PA,47450,Rights,10.767452878631598,0.0,10.767452878631598
"Gohmert, Louis B Jr",Republican,House,TX01,0,47215,0,861,26,0,TX,47215,Rights,10.76248809718272,0.0,10.76248809718272
"Lamborn, Douglas L",Republican,House,CO05,0,46440,0,861,13569,0,CO,46440,Rights,10.74593796874106,0.0,10.74593796874106
"Jordan, Jim",Republican,House,OH04,0,45150,0,861,3451,0,OH,45150,Rights,10.7177677069941,0.0,10.7177677069941
"Olson, Pete",Republican,House,TX22,0,44890,0,861,1061,0,TX,44890,Rights,10.711992608204175,0.0,10.711992608204175
"Hudson, Richard",Republican,House,NC08,0,44600,0,861,9674,0,NC,44600,Rights,10.70551155928146,0.0,10.70551155928146
"Davis, Rodney",Republican,House,IL13,0,44460,0,861,42576,0,IL,44460,Rights,10.702367679393,0.0,10.702367679393
"Mullin, Markwayne",Republican,House,OK02,0,43850,0,861,7976,0,OK,43850,Rights,10.688552802557403,0.0,10.688552802557403
"Tillis, Thom",Republican,Senate,NCS1,0,43800,0,861,1968468,0,NC,43800,Rights,10.687411927154141,0.0,10.687411927154141
"Kind, Ron",Democrat,House,WI03,0,43482,0,861,20658,0,WI,43482,Rights,10.680125336095056,0.0,10.680125336095056
"Lankford, James",Republican,Senate,OKS1,0,43425,0,861,7455,0,OK,43425,Rights,10.678813619053717,0.0,10.678813619053717
"Thompson, Glenn",Republican,House,PA15,0,43211,0,861,1747,0,PA,43211,Rights,10.673873513436876,0.0,10.673873513436876
"Schweikert, David",Republican,House,AZ06,0,42509,0,861,64785,0,AZ,42509,Rights,10.657494621352836,0.0,10.657494621352836
"Long, Billy",Republican,House,MO07,0,42124,0,861,1638,0,MO,42124,Rights,10.648396667654662,0.0,10.648396667654662
"Cole, Tom",Republican,House,OK04,0,41600,0,861,8112,0,OK,41600,Rights,10.635879484421974,0.0,10.635879484421974
"Griffith, Morgan",Republican,House,VA09,0,41536,0,861,702,0,VA,41536,Rights,10.634339875274723,0.0,10.634339875274723
"Diaz-Balart, Mario",Republican,House,FL25,0,41450,0,208560,4552,0,FL,41450,Rights,10.63226728572478,0.0,10.63226728572478
"Scott, Tim",Republican,Senate,SCS1,0,41300,0,861,563,0,SC,41300,Rights,10.628641991731053,0.0,10.628641991731053
"Massie, Thomas",Republican,House,KY04,0,41067,0,861,0,0,KY,41067,Rights,10.622984508418856,0.0,10.622984508418856
"Bost, Mike",Republican,House,IL12,0,39905,0,861,18405,0,IL,39905,Rights,10.594281967512476,0.0,10.594281967512476
"Boozman, John",Republican,Senate,ARS2,0,39820,0,861,60502,0,AR,39820,Rights,10.5921496903114,0.0,10.5921496903114
"Johnson, Bill",Republican,House,OH06,0,39726,0,861,45630,0,OH,39726,Rights,10.589786336267235,0.0,10.589786336267235
"Gianforte, Greg",Republican,House,MT01,0,39025,0,861,148348,0,MT,39025,Rights,10.571983369654944,0.0,10.571983369654944
"Reed, Tom",Republican,House,NY23,0,38225,0,861,9212,0,NY,38225,Rights,10.551271191344544,0.0,10.551271191344544
"Lee, Mike",Republican,Senate,UTS2,0,38125,0,861,3291,0,UT,38125,Rights,10.548651743073922,0.0,10.548651743073922
"Desjarlais, Scott",Republican,House,TN04,0,38050,0,861,3929,0,TN,38050,Rights,10.546682644153423,0.0,10.546682644153423
"Brady, Kevin",Republican,House,TX08,0,38050,0,861,10403,0,TX,38050,Rights,10.546682644153423,0.0,10.546682644153423
"Foxx, Virginia",Republican,House,NC05,0,37850,0,861,810,0,NC,37850,Rights,10.54141267859585,0.0,10.54141267859585
"Enzi, Mike",Republican,Senate,WYS2,0,37500,0,861,3822,0,WY,37500,Rights,10.53212287826962,0.0,10.53212287826962
"Fortenberry, Jeff",Republican,House,NE01,0,37150,0,861,9678,0,NE,37150,Rights,10.52274596768403,0.0,10.52274596768403
"Williams, Roger",Republican,House,TX25,0,36700,0,861,1335,0,TX,36700,Rights,10.510559281627845,0.0,10.510559281627845
"Bacon, Donald John",Republican,House,NE02,0,36308,0,12861,18590,0,NE,36308,Rights,10.499820923406714,0.0,10.499820923406714
"Huizenga, Bill",Republican,House,MI02,0,36230,0,861,0,0,MI,36230,Rights,10.497670384943484,0.0,10.497670384943484
"Mooney, Alex",Republican,House,WV02,0,36166,0,861,21209,0,WV,36166,Rights,10.495902379841931,0.0,10.495902379841931
"Turner, Michael R",Republican,House,OH10,0,35342,0,861,1634,0,OH,35342,Rights,10.472855631914229,0.0,10.472855631914229
"Hyde-Smith, Cindy",Republican,Senate,MSS1,0,34986,0,0,50212,0,MS,34986,Rights,10.462731842903445,0.0,10.462731842903445
"Joyce, David P",Republican,House,OH14,0,34900,0,5843,39266,0,OH,34900,Rights,10.460270761075149,0.0,10.460270761075149
"Alexander, Lamar",Republican,Senate,TNS2,0,34750,0,861,10193,1867,TN,34750,Rights,10.455963627557306,0.0,10.455963627557306
"Luetkemeyer, Blaine",Republican,House,MO03,0,34050,0,861,23932,0,MO,34050,Rights,10.435614679722034,0.0,10.435614679722034
"Gosar, Paul",Republican,House,AZ04,0,33899,0,861,9863,0,AZ,33899,Rights,10.431170293368542,0.0,10.431170293368542
"Wittman, Rob",Republican,House,VA01,0,33600,0,861,9221,0,VA,33600,Rights,10.422311107413181,0.0,10.422311107413181
"Mast, Brian",Republican,House,FL18,0,33486,0,861,26569,571,FL,33486,Rights,10.418912582797015,0.0,10.418912582797015
"Sensenbrenner, F James Jr",Republican,House,WI05,2500,32750,0,861,2125,0,WI,35250,Rights,10.396688774948379,7.824445930877619,10.470249176632354
"Walorski, Jackie",Republican,House,IN02,0,31603,0,861,15877,0,IN,31603,Rights,10.361038973842623,0.0,10.361038973842623
"Holding, George",Republican,House,NC02,0,31400,0,861,16506,0,NC,31400,Rights,10.354595018522993,0.0,10.354595018522993
"Budd, Ted",Republican,House,NC13,0,31150,0,861,195256,0,NC,31150,Rights,10.346601626429049,0.0,10.346601626429049
"Womack, Steve",Republican,House,AR03,0,29650,0,861,0,0,AR,29650,Rights,10.297251130669952,0.0,10.297251130669952
"Scott, Austin",Republican,House,GA08,0,29536,0,861,0,0,GA,29536,Rights,10.293398993717526,0.0,10.293398993717526
"Webster, Daniel",Republican,House,FL11,0,29200,0,861,29838,0,FL,29200,Rights,10.281958234245314,0.0,10.281958234245314
"Stefanik, Elise",Republican,House,NY21,0,29011,0,861,2179,0,NY,29011,Rights,10.275464816483304,0.0,10.275464816483304
"Roby, Martha",Republican,House,AL02,0,28798,0,861,2889,42,AL,28798,Rights,10.268095943298984,0.0,10.268095943298984
"Smith, Jason",Republican,House,MO08,0,28500,0,861,1809,0,MO,28500,Rights,10.25769445336048,0.0,10.25769445336048
"Braun, Mike",Republican,Senate,INS1,0,28350,0,0,164364,0,IN,28350,Rights,10.252417581902414,0.0,10.252417581902414
"Hice, Jody",Republican,House,GA10,0,28217,0,861,7600,0,GA,28217,Rights,10.247715351173103,0.0,10.247715351173103
"Marchant, Kenny",Republican,House,TX24,0,28050,0,861,969,0,TX,28050,Rights,10.24177956093926,0.0,10.24177956093926
"Gibbs, Bob",Republican,House,OH07,0,27550,0,861,2040,0,OH,27550,Rights,10.22379411156297,0.0,10.22379411156297
"Stauber, Pete",Republican,House,MN08,0,26700,0,0,191228,0,MN,26700,Rights,10.192456296870509,0.0,10.192456296870509
"Hill, French",Republican,House,AR02,0,26600,0,861,541676,0,AR,26600,Rights,10.188704088048116,0.0,10.188704088048116
"Burgess, Michael",Republican,House,TX26,0,26450,0,861,1265,0,TX,26450,Rights,10.183049243755137,0.0,10.183049243755137
"Barr, Andy",Republican,House,KY06,0,26309,0,861,12207,0,KY,26309,Rights,10.177704374034338,0.0,10.177704374034338
"Weber, Randy",Republican,House,TX14,0,26050,0,861,1270,0,TX,26050,Rights,10.167811434160654,0.0,10.167811434160654
"Banks, Jim",Republican,House,IN03,0,25669,0,861,12700,0,IN,25669,Rights,10.153078273865185,0.0,10.153078273865185
"Fleischmann, Chuck",Republican,House,TN03,0,25200,0,861,4726,0,TN,25200,Rights,10.134638955251866,0.0,10.134638955251866
"Katko, John",Republican,House,NY24,0,24900,0,861,42692,0,NY,24900,Rights,10.122663242288953,0.0,10.122663242288953
"Perry, Scott",Republican,House,PA10,0,24750,0,861,13322,0,PA,24750,Rights,10.11662117122102,0.0,10.11662117122102
"Stewart, Chris",Republican,House,UT02,0,24500,0,861,0,0,UT,24500,Rights,10.106469212026385,0.0,10.106469212026385
"Palazzo, Steven",Republican,House,MS04,0,24301,0,861,2153,0,MS,24301,Rights,10.098313930468557,0.0,10.098313930468557
"Bilirakis, Gus",Republican,House,FL12,0,24150,0,861,0,0,FL,24150,Rights,10.092081066090932,0.0,10.092081066090932
"Ernst, Joni",Republican,Senate,IAS2,0,23900,0,745661,459405,0,IA,23900,Rights,10.081675578048475,0.0,10.081675578048475
"Kinzinger, Adam",Republican,House,IL16,0,23900,0,861,30,0,IL,23900,Rights,10.081675578048475,0.0,10.081675578048475
"Babin, Brian",Republican,House,TX36,0,23230,0,861,1334,0,TX,23230,Rights,10.053242872620965,0.0,10.053242872620965
"Perdue, David",Republican,Senate,GAS1,0,23150,0,861,390904,0,GA,23150,Rights,10.049793255125712,0.0,10.049793255125712
"Palmer, Gary",Republican,House,AL06,0,22950,0,861,0,0,AL,22950,Rights,10.041116787524166,0.0,10.041116787524166
"Sasse, Ben",Republican,Senate,NES2,0,21757,0,861,69541,0,NE,21757,Rights,9.987736784981028,0.0,9.987736784981028
"Upton, Fred",Republican,House,MI06,1000,21450,0,861,3601,0,MI,22450,Rights,9.973526543316103,6.90875477931522,10.019090435608215
"Carter, Buddy",Republican,House,GA01,0,21100,0,861,352,0,GA,21100,Rights,9.957075711706057,0.0,9.957075711706057
"Buchanan, Vernon",Republican,House,FL16,0,21037,0,12861,4490,0,FL,21037,Rights,9.95408560529922,0.0,9.95408560529922
"Ryan, Tim",Democrat,House,OH13,3200,20996,0,0,8005,3196,OH,24196,Rights,9.95213484935765,8.071218539969863,10.093983937518093
"LaMalfa, Doug",Republican,House,CA01,0,20850,0,861,3590,0,CA,20850,Rights,9.94515718770752,0.0,9.94515718770752
"Manchin, Joe",Democrat,Senate,WVS1,2000,20700,0,0,27634,255941,WV,22700,Rights,9.937937287265354,7.601402334583733,10.030164255362632
"Grothman, Glenn S",Republican,House,WI06,0,20505,0,861,9744,0,WI,20505,Rights,9.928472805230037,0.0,9.928472805230037
"Amash, Justin",Republican,House,MI03,0,20046,0,861,0,0,MI,20046,Rights,9.905834795604477,0.0,9.905834795604477
"Collins, Susan M",Republican,Senate,MES2,0,19800,536098,0,0,1701,ME,19800,Rights,9.893487720457795,0.0,9.893487720457795
"McKinley, David",Republican,House,WV01,0,19800,0,861,7963,0,WV,19800,Rights,9.893487720457795,0.0,9.893487720457795
"Allen, Richard W",Republican,House,GA12,0,19775,0,861,0,0,GA,19775,Rights,9.892224360257417,0.0,9.892224360257417
"Graves, Garret",Republican,House,LA06,0,19600,0,861,2900,0,LA,19600,Rights,9.883335864325275,0.0,9.883335864325275
"Guthrie, Brett",Republican,House,KY02,0,19500,0,861,0,0,KY,19500,Rights,9.87822102528824,0.0,9.87822102528824
"Meadows, Mark R",Republican,House,NC11,0,19365,0,861,2661,0,NC,19365,Rights,9.871274230171476,0.0,9.871274230171476
"Rounds, Mike",Republican,Senate,SDS2,0,19100,0,861,83983,0,SD,19100,Rights,9.857495968685136,0.0,9.857495968685136
"Bucshon, Larry",Republican,House,IN08,0,18750,0,861,10319,0,IN,18750,Rights,9.839002363309719,0.0,9.839002363309719
"Cook, Paul",Republican,House,CA08,0,18600,0,861,0,0,CA,18600,Rights,9.83097062169695,0.0,9.83097062169695
"Rice, Tom",Republican,House,SC07,0,18500,0,861,0,0,SC,18500,Rights,9.825580063659602,0.0,9.825580063659602
"Emmer, Tom",Republican,House,MN06,0,18477,0,861,10793,0,MN,18477,Rights,9.824336114230691,0.0,9.824336114230691
"Yoho, Ted",Republican,House,FL03,0,18410,0,861,92,0,FL,18410,Rights,9.820703591057207,0.0,9.820703591057207
"Johnson, Mike",Republican,House,LA04,0,18144,0,861,5223,0,LA,18144,Rights,9.806150319647172,0.0,9.806150319647172
"Collins, Doug",Republican,House,GA09,0,18000,0,861,6640,0,GA,18000,Rights,9.798182590890704,0.0,9.798182590890704
"Rouzer, David",Republican,House,NC07,0,18000,0,861,1059,0,NC,18000,Rights,9.798182590890704,0.0,9.798182590890704
"Wagner, Ann L",Republican,House,MO02,0,17500,0,861,2477,0,MO,17500,Rights,9.770013301136158,0.0,9.770013301136158
"Crawford, Rick",Republican,House,AR01,0,17235,0,861,1977,0,AR,17235,Rights,9.75475549873573,0.0,9.75475549873573
"Posey, Bill",Republican,House,FL08,0,16800,0,861,2436,0,FL,16800,Rights,9.729193687429403,0.0,9.729193687429403
"Cheney, Liz",Republican,House,WY01,0,16600,0,861,0,0,WY,16600,Rights,9.717218213494077,0.0,9.717218213494077
"Kustoff, David",Republican,House,TN08,0,16400,0,861,1615,0,TN,16400,Rights,9.70509758756311,0.0,9.70509758756311
"Westerman, Bruce",Republican,House,AR04,0,16000,0,861,6504,0,AR,16000,Rights,9.680406499268875,0.0,9.680406499268875
"Wenstrup, Brad",Republican,House,OH02,0,16000,0,861,864,0,OH,16000,Rights,9.680406499268875,0.0,9.680406499268875
"Loudermilk, Barry",Republican,House,GA11,0,15900,0,861,0,0,GA,15900,Rights,9.674137279312397,0.0,9.674137279312397
"Brooks, Mo",Republican,House,AL05,0,14525,0,861,0,0,AL,14525,Rights,9.583695426166113,0.0,9.583695426166113
"Sullivan, Dan",Republican,Senate,AKS1,0,14136,0,861,44617,0,AK,14136,Rights,9.556550752867032,0.0,9.556550752867032
"Hagedorn, Jim",Republican,House,MN01,0,14100,0,0,18235,0,MN,14100,Rights,9.55400099583723,0.0,9.55400099583723
"Bergman, John",Republican,House,MI01,0,13900,0,861,0,0,MI,13900,Rights,9.539716058977092,0.0,9.539716058977092
"Riggleman, Denver",Republican,House,VA05,0,13850,0,0,32246,0,VA,13850,Rights,9.536112711175099,0.0,9.536112711175099
"Smucker, Lloyd",Republican,House,PA11,0,13450,0,861,217283,0,PA,13450,Rights,9.506808731708581,0.0,9.506808731708581
"Crist, Charlie",Democrat,House,FL13,0,12900,0,0,0,0,FL,12900,Rights,9.465060106725137,0.0,9.465060106725137
"Walker, Mark",Republican,House,NC06,0,12800,0,861,1126,0,NC,12800,Rights,9.45727857185611,0.0,9.45727857185611
"Brooks, Susan",Republican,House,IN05,0,12600,0,861,0,0,IN,12600,Rights,9.441531454869693,0.0,9.441531454869693
"Schrader, Kurt",Democrat,House,OR05,0,12500,0,861,4887,0,OR,12500,Rights,9.433563920090563,0.0,9.433563920090563
"Kelly, Trent",Republican,House,MS01,0,12250,0,861,1921,0,MS,12250,Rights,9.41336284529417,0.0,9.41336284529417
"Lesko, Debbie",Republican,House,AZ08,0,12200,0,0,4046,0,AZ,12200,Rights,9.409273194575334,0.0,9.409273194575334
"Ratcliffe, John Lee",Republican,House,TX04,0,12200,0,861,1476,0,TX,12200,Rights,9.409273194575334,0.0,9.409273194575334
"Curtis, John",Republican,House,UT03,0,12050,0,861,0,0,UT,12050,Rights,9.396902923027392,0.0,9.396902923027392
"Newhouse, Dan",Republican,House,WA04,0,12050,0,861,0,8456,WA,12050,Rights,9.396902923027392,0.0,9.396902923027392
"Byrne, Bradley",Republican,House,AL01,0,12000,0,861,3237,0,AL,12000,Rights,9.392745258631441,0.0,9.392745258631441
"Estes, Ron",Republican,House,KS04,0,12000,0,861,3979,0,KS,12000,Rights,9.392745258631441,0.0,9.392745258631441
"Balderson, Troy",Republican,House,OH12,0,11950,0,0,14863,0,OH,11950,Rights,9.388570235866881,0.0,9.388570235866881
"Roy, Chip",Republican,House,TX21,0,11800,0,0,27826,0,TX,11800,Rights,9.375939552625749,0.0,9.375939552625749
"Arrington, Jodey",Republican,House,TX19,0,11785,0,861,1060,0,TX,11785,Rights,9.374667665397858,0.0,9.374667665397858
"Norman, Ralph",Republican,House,SC05,0,11553,0,861,3079,0,SC,11553,Rights,9.354786976341211,0.0,9.354786976341211
"Collins, Chris",Republican,House,NY27,0,11550,0,861,0,0,NY,11550,Rights,9.35452729228868,0.0,9.35452729228868
"Ferguson, Drew",Republican,House,GA03,0,11500,0,861,0,0,GA,11500,Rights,9.350189267092581,0.0,9.350189267092581
"Abraham, Ralph",Republican,House,LA05,0,11500,0,861,2974,0,LA,11500,Rights,9.350189267092581,0.0,9.350189267092581
"Mitchell, Paul",Republican,House,MI10,0,10880,0,861,0,0,MI,10880,Rights,9.294773427951013,0.0,9.294773427951013
"Gaetz, Matt",Republican,House,FL01,0,10700,0,861,0,23,FL,10700,Rights,9.278092474027002,0.0,9.278092474027002
"Gallagher, Mike",Republican,House,WI08,0,10590,0,861,36629,0,WI,10590,Rights,9.267759862843668,0.0,9.267759862843668
"Burchett, Tim",Republican,House,TN02,0,10200,0,0,1387,0,TN,10200,Rights,9.23024103368252,0.0,9.23024103368252
"Woodall, Rob",Republican,House,GA07,0,9400,0,861,0,0,GA,9400,Rights,9.148571345578551,0.0,9.148571345578551
"LaHood, Darin",Republican,House,IL18,0,9200,0,861,13990,0,IL,9200,Rights,9.127067452782361,0.0,9.127067452782361
"Leahy, Patrick",Democrat,Senate,VTS2,0,9000,0,0,0,0,VT,9000,Rights,9.105090961257085,0.0,9.105090961257085
"Higgins, Clay",Republican,House,LA03,0,9000,0,861,0,0,LA,9000,Rights,9.105090961257085,0.0,9.105090961257085
"Heinrich, Martin",Democrat,Senate,NMS1,9224,8850,0,0,17000,0,NM,18074,Control,9.088285725968877,9.129672468908728,9.802285047026965
"Spano, Ross",Republican,House,FL15,0,8700,0,0,9994,0,FL,8700,Rights,9.071193240566025,0.0,9.071193240566025
"Davidson, Warren",Republican,House,OH08,0,8550,0,861,987,0,OH,8550,Rights,9.053803514155955,0.0,9.053803514155955
"Green, Mark",Republican,House,TN07,0,8360,0,0,1576,0,TN,8360,Rights,9.031333316150057,0.0,9.031333316150057
"Hollingsworth, Trey",Republican,House,IN09,0,8000,0,861,8960,0,IN,8000,Rights,8.987321812850125,0.0,8.987321812850125
"Moolenaar, John",Republican,House,MI04,0,8000,0,861,5554,0,MI,8000,Rights,8.987321812850125,0.0,8.987321812850125
"Comer, James",Republican,House,KY01,0,7700,0,861,6242,0,KY,7700,Rights,8.94910546953925,0.0,8.94910546953925
"Pence, Greg",Republican,House,IN06,0,7420,0,0,6604,0,IN,7420,Rights,8.912069097970134,0.0,8.912069097970134
"Dunn, Neal",Republican,House,FL02,0,7250,0,861,1699,325,FL,7250,Rights,8.888894669371593,0.0,8.888894669371593
"Biggs, Andy",Republican,House,AZ05,0,7000,0,861,3308,0,AZ,7000,Rights,8.853808274977197,0.0,8.853808274977197
"Reschenthaler, Guy",Republican,House,PA14,0,7000,0,0,1605,0,PA,7000,Rights,8.853808274977197,0.0,8.853808274977197
"Crenshaw, Dan",Republican,House,TX02,0,6965,0,0,891,0,TX,6965,Rights,8.848796450925947,0.0,8.848796450925947
"Rose, John",Republican,House,TN06,0,6200,0,0,1731,0,TN,6200,Rights,8.732465848349879,0.0,8.732465848349879
"Cloud, Michael",Republican,House,TX27,0,6200,0,0,1025,0,TX,6200,Rights,8.732465848349879,0.0,8.732465848349879
"Waltz, Michael",Republican,House,FL06,0,6000,0,0,11123,0,FL,6000,Rights,8.699681400989514,0.0,8.699681400989514
"Higgins, Brian M",Democrat,House,NY26,1000,6000,0,0,0,0,NY,7000,Rights,8.699681400989514,6.90875477931522,8.853808274977197
"Hastings, Alcee L",Democrat,House,FL20,0,5950,0,0,0,0,FL,5950,Rights,8.691314551644853,0.0,8.691314551644853
"Marshall, Roger",Republican,House,KS01,0,5750,0,861,0,0,KS,5750,Rights,8.657129031713755,0.0,8.657129031713755
"Warner, Mark",Democrat,Senate,VAS2,0,5500,41000,0,0,204731,VA,5500,Rights,8.612685172875459,0.0,8.612685172875459
"Lujan, Ben Ray",Democrat,House,NM03,6650,5500,0,0,0,0,NM,12150,Control,8.612685172875459,8.802522498284421,9.405166749908611
"Cline, Ben",Republican,House,VA06,0,5350,0,0,0,0,VA,5350,Rights,8.585038738311304,0.0,8.585038738311304
