State,Year,SuicideDeaths
Wyoming,2007,67
Alabama,2008,424
Alaska,2008,116
Arizona,2008,540
Arkansas,2008,275
California,2008,1478
Colorado,2008,387
Connecticut,2008,109
Delaware,2008,41
District of Columbia,2008,12
Florida,2008,1397
Georgia,2008,616
Hawaii,2008,28
Idaho,2008,149
Illinois,2008,438
Indiana,2008,450
Iowa,2008,180
Kansas,2008,185
Kentucky,2008,394
Louisiana,2008,351
Maine,2008,103
Maryland,2008,263
Massachusetts,2008,118
Michigan,2008,570
Minnesota,2008,289
Mississippi,2008,286
Missouri,2008,421
Montana,2008,132
Nebraska,2008,98
Nevada,2008,291
New Hampshire,2008,85
New Jersey,2008,175
New Mexico,2008,195
New York,2008,429
North Carolina,2008,669
North Dakota,2008,55
Ohio,2008,684
Oklahoma,2008,346
Oregon,2008,319
Pennsylvania,2008,770
Rhode Island,2008,23
South Carolina,2008,343
South Dakota,2008,68
Tennessee,2008,609
Texas,2008,1506
Utah,2008,196
Vermont,2008,44
Virginia,2008,524
Washington,2008,439
West Virginia,2008,172
Wisconsin,2008,344
Wyoming,2008,87
Alabama,2009,479
Alaska,2009,79
Arizona,2009,605
Arkansas,2009,285
California,2009,1519
Colorado,2009,454
Connecticut,2009,93
Delaware,2009,38
Florida,2009,1472
Georgia,2009,743
Hawaii,2009,36
Idaho,2009,176
Illinois,2009,402
Indiana,2009,458
Iowa,2009,160
Kansas,2009,200
Kentucky,2009,403
Louisiana,2009,328
Maine,2009,106
Maryland,2009,252
Massachusetts,2009,89
Michigan,2009,575
Minnesota,2009,281
Mississippi,2009,269
Missouri,2009,471
Montana,2009,136
Nebraska,2009,93
Nevada,2009,295
New Hampshire,2009,82
New Jersey,2009,173
New Mexico,2009,192
New York,2009,422
North Carolina,2009,678
North Dakota,2009,50
Ohio,2009,590
Oklahoma,2009,363
Oregon,2009,345
Pennsylvania,2009,825
Rhode Island,2009,40
South Carolina,2009,377
South Dakota,2009,61
Tennessee,2009,574
Texas,2009,1583
Utah,2009,217
Vermont,2009,59
Virginia,2009,527
Washington,2009,470
West Virginia,2009,178
Wisconsin,2009,345
Wyoming,2009,82
Alabama,2010,454
Alaska,2010,107
Arizona,2010,620
Arkansas,2010,266
California,2010,1492
Colorado,2010,427
Connecticut,2010,110
Delaware,2010,43
District of Columbia,2010,13
Florida,2010,1454
Georgia,2010,718
Hawaii,2010,37
Idaho,2010,182
Illinois,2010,442
Indiana,2010,455
Iowa,2010,177
Kansas,2010,210
Kentucky,2010,404
Louisiana,2010,385
Maine,2010,95
Maryland,2010,222
Massachusetts,2010,138
Michigan,2010,601
Minnesota,2010,280
Mississippi,2010,256
Missouri,2010,489
Montana,2010,141
Nebraska,2010,106
Nevada,2010,289
New Hampshire,2010,102
New Jersey,2010,187
New Mexico,2010,204
New York,2010,459
North Carolina,2010,707
North Dakota,2010,56
Ohio,2010,724
Oklahoma,2010,376
Oregon,2010,376
Pennsylvania,2010,762
Rhode Island,2010,30
South Carolina,2010,392
South Dakota,2010,65
Tennessee,2010,585
Texas,2010,1702
Utah,2010,275
Vermont,2010,66
Virginia,2010,576
Washington,2010,464
West Virginia,2010,210
Wisconsin,2010,378
Wyoming,2010,83
Alabama,2011,452
Alaska,2011,99
Arizona,2011,674
Arkansas,2011,299
California,2011,1564
Colorado,2011,443
Connecticut,2011,111
Delaware,2011,46
Florida,2011,1490
Georgia,2011,742
Hawaii,2011,42
Idaho,2011,167
Illinois,2011,461
Indiana,2011,411
Iowa,2011,185
Kansas,2011,233
Kentucky,2011,453
Louisiana,2011,377
Maine,2011,113
Maryland,2011,242
Massachusetts,2011,116
Michigan,2011,619
Minnesota,2011,322
Mississippi,2011,268
Missouri,2011,513
Montana,2011,152
Nebraska,2011,111
Nevada,2011,272
New Hampshire,2011,75
New Jersey,2011,181
New Mexico,2011,221
New York,2011,505
North Carolina,2011,728
North Dakota,2011,51
Ohio,2011,726
Oklahoma,2011,440
Oregon,2011,343
Pennsylvania,2011,883
Rhode Island,2011,20
South Carolina,2011,426
South Dakota,2011,60
Tennessee,2011,591
Texas,2011,1684
Utah,2011,268
Vermont,2011,70
Virginia,2011,604
Washington,2011,495
West Virginia,2011,200
Wisconsin,2011,351
Wyoming,2011,84
Alabama,2012,500
Alaska,2012,98
Arizona,2012,663
Arkansas,2012,307
California,2012,1549
Colorado,2012,533
Connecticut,2012,111
Delaware,2012,46
District of Columbia,2012,10
Florida,2012,1550
Georgia,2012,750
Hawaii,2012,43
Idaho,2012,176
Illinois,2012,490
Indiana,2012,513
Iowa,2012,175
Kansas,2012,297
Kentucky,2012,469
Louisiana,2012,375
Maine,2012,112
Maryland,2012,272
Massachusetts,2012,151
Michigan,2012,623
Minnesota,2012,310
Mississippi,2012,296
Missouri,2012,546
Montana,2012,153
Nebraska,2012,115
Nevada,2012,274
New Hampshire,2012,98
New Jersey,2012,160
New Mexico,2012,230
New York,2012,516
North Carolina,2012,709
North Dakota,2012,63
Ohio,2012,784
Oklahoma,2012,411
Oregon,2012,367
Pennsylvania,2012,819
Rhode Island,2012,26
South Carolina,2012,433
South Dakota,2012,76
Tennessee,2012,626
Texas,2012,1744
Utah,2012,283
Vermont,2012,50
Virginia,2012,587
Washington,2012,529
West Virginia,2012,198
Wisconsin,2012,348
Wyoming,2012,102
Alabama,2013,504
Alaska,2013,120
Arizona,2013,655
Arkansas,2013,322
California,2013,1571
Colorado,2013,489
Connecticut,2013,92
Delaware,2013,60
Florida,2013,1566
Georgia,2013,747
Hawaii,2013,28
Idaho,2013,200
Illinois,2013,496
Indiana,2013,523
Iowa,2013,221
Kansas,2013,241
Kentucky,2013,453
Louisiana,2013,408
Maine,2013,137
Maryland,2013,257
Massachusetts,2013,112
Michigan,2013,674
Minnesota,2013,339
Mississippi,2013,279
Missouri,2013,556
Montana,2013,147
Nebraska,2013,111
Nevada,2013,292
New Hampshire,2013,81
New Jersey,2013,194
New Mexico,2013,222
New York,2013,465
North Carolina,2013,771
North Dakota,2013,76
Ohio,2013,800
Oklahoma,2013,433
Oregon,2013,389
Pennsylvania,2013,918
Rhode Island,2013,34
South Carolina,2013,470
South Dakota,2013,71
Tennessee,2013,676
Texas,2013,1780
Utah,2013,295
Vermont,2013,59
Virginia,2013,601
Washington,2013,483
West Virginia,2013,225
Wisconsin,2013,437
Wyoming,2013,89
Alabama,2014,479
Alaska,2014,115
Arizona,2014,683
Arkansas,2014,323
California,2014,1582
Colorado,2014,539
Connecticut,2014,125
Delaware,2014,59
District of Columbia,2014,14
Florida,2014,1538
Georgia,2014,841
Hawaii,2014,33
Idaho,2014,182
Illinois,2014,533
Indiana,2014,528
Iowa,2014,194
Kansas,2014,238
Kentucky,2014,470
Louisiana,2014,444
Maine,2014,116
Maryland,2014,277
Massachusetts,2014,130
Michigan,2014,671
Minnesota,2014,308
Mississippi,2014,251
Missouri,2014,588
Montana,2014,149
Nebraska,2014,133
Nevada,2014,309
New Hampshire,2014,110
New Jersey,2014,194
New Mexico,2014,244
New York,2014,474
North Carolina,2014,760
North Dakota,2014,85
Ohio,2014,744
Oklahoma,2014,435
Oregon,2014,422
Pennsylvania,2014,897
Rhode Island,2014,20
South Carolina,2014,479
South Dakota,2014,76
Tennessee,2014,644
Texas,2014,1789
Utah,2014,278
Vermont,2014,59
Virginia,2014,626
Washington,2014,551
West Virginia,2014,217
Wisconsin,2014,352
Wyoming,2014,78
Alabama,2015,528
Alaska,2015,123
Arizona,2015,707
Arkansas,2015,342
California,2015,1559
Colorado,2015,541
Connecticut,2015,104
Delaware,2015,55
District of Columbia,2015,11
Florida,2015,1630
Georgia,2015,823
Hawaii,2015,44
Idaho,2015,215
Illinois,2015,495
Indiana,2015,517
Iowa,2015,193
Kansas,2015,224
Kentucky,2015,499
Louisiana,2015,468
Maine,2015,128
Maryland,2015,244
Massachusetts,2015,118
Michigan,2015,692
Minnesota,2015,304
Mississippi,2015,292
Missouri,2015,605
Montana,2015,174
Nebraska,2015,114
Nevada,2015,293
New Hampshire,2015,107
New Jersey,2015,189
New Mexico,2015,275
New York,2015,421
North Carolina,2015,787
North Dakota,2015,76
Ohio,2015,861
Oklahoma,2015,468
Oregon,2015,373
Pennsylvania,2015,932
Rhode Island,2015,40
South Carolina,2015,469
South Dakota,2015,73
Tennessee,2015,638
Texas,2015,1994
Utah,2015,313
Vermont,2015,59
Virginia,2015,630
Washington,2015,537
West Virginia,2015,215
Wisconsin,2015,424
Wyoming,2015,95
Alabama,2016,550
Alaska,2016,113
Arizona,2016,755
Arkansas,2016,331
California,2016,1595
Colorado,2016,613
Connecticut,2016,110
Delaware,2016,65
Florida,2016,1672
Georgia,2016,871
Hawaii,2016,37
Idaho,2016,215
Illinois,2016,506
Indiana,2016,591
Iowa,2016,228
Kansas,2016,257
Kentucky,2016,495
Louisiana,2016,440
Maine,2016,112
Maryland,2016,251
Massachusetts,2016,140
Michigan,2016,717
Minnesota,2016,332
Mississippi,2016,268
Missouri,2016,650
Montana,2016,162
Nebraska,2016,116
Nevada,2016,334
New Hampshire,2016,123
New Jersey,2016,176
New Mexico,2016,243
New York,2016,490
North Carolina,2016,788
North Dakota,2016,75
Ohio,2016,926
Oklahoma,2016,517
Oregon,2016,414
Pennsylvania,2016,976
Rhode Island,2016,35
South Carolina,2016,525
South Dakota,2016,84
Tennessee,2016,675
Texas,2016,2016
Utah,2016,309
Vermont,2016,69
Virginia,2016,671
Washington,2016,515
West Virginia,2016,238
Wisconsin,2016,455
Wyoming,2016,87
Alabama,2017,573
Alaska,2017,119
Arizona,2017,792
Arkansas,2017,392
California,2017,1610
Colorado,2017,592
Connecticut,2017,109
Delaware,2017,50
Florida,2017,1723
Georgia,2017,908
Hawaii,2017,30
Idaho,2017,244
Illinois,2017,577
Indiana,2017,604
Iowa,2017,222
Kansas,2017,316
Kentucky,2017,470
Louisiana,2017,444
Maine,2017,151
Maryland,2017,271
Massachusetts,2017,152
Michigan,2017,682
Minnesota,2017,365
Mississippi,2017,295
Missouri,2017,701
Montana,2017,213
Nebraska,2017,126
Nevada,2017,329
New Hampshire,2017,132
New Jersey,2017,204
New Mexico,2017,261
New York,2017,433
North Carolina,2017,840
North Dakota,2017,93
Ohio,2017,918
Oklahoma,2017,439
Oregon,2017,439
Pennsylvania,2017,993
Rhode Island,2017,33
South Carolina,2017,531
South Dakota,2017,83
Tennessee,2017,711
Texas,2017,2158
Utah,2017,344
Vermont,2017,62
Virginia,2017,672
Washington,2017,639
West Virginia,2017,267
Wisconsin,2017,435
Wyoming,2017,99
